cardID,bigint1
100489,516786787501401
100490,35932468094534
100491,343420972870988
100492,179662262306653
100493,152090490711676
100494,151781389406060
100495,160494463262005
100496,443989368789585
100497,499067793726821
100498,359981721900641
100499,349115206881571
100500,235096658031416
100501,459724626120488
100502,108788918634436
100503,284506281917714
100504,325188270601492
100505,473345719446640
100506,499750457371026
100507,213569067964289
100508,460513565501488
100509,248187808238094
100510,374222495239368
100511,227174836064592
100512,24568902467322
100513,306951574193923
100514,212478627295671
100515,181321102590583
100613,512529339837214
100614,405320532667609
100615,532343272909900
100616,392023470060390
100617,493239198766307
100618,515132799411566
100619,532760736091293
100620,442973326457976
100621,515691420525673
100622,297517368356089
100623,348464703924546
100624,77231372018738
100625,394161635363509
101434,533860266739998
101435,398113859907398
101436,398942482449686
101437,390084181567085
101438,511835702193650
101439,500057081881105
101440,518581381444708
101441,253502074810594
101442,535363822422067
101443,508580387333708
101444,530605367184730
101445,394618515318896
101446,313914905586891
101447,390069950646159
101448,223824615193249
101449,137686486380711
101450,137229625006649
101451,407528444546006
101452,376786102034786
101453,376721609237877
101454,368435245050080
101455,497577706154201
101456,508615264597224
101457,407737234492730
101458,407158846271591
101459,513886418816933
101460,217443695611023
101461,500961645562896
101462,500723543230484
101463,495663009696825
101464,360397374284098
101465,360241674992120
101466,305320258701750
101467,276682299280809
101470,473705069789988
101471,490971534476065
101472,40813644832200
101473,542829078661160
101474,461267922675909
101475,356026936601612
101476,76758297389508
101477,390904245336082
101478,302812057319524
101479,147735749390545
101480,65379271199123
101481,56176246944308
101482,214769461529366
101483,506365775039412
101484,543747615940672
101485,451476655115796
101486,224421498132711
101487,543210701957716
101488,260087530251465
101489,113026651616102
101490,272335854795488
101491,473090284603541
101492,540291256600728
101493,472315034067492
101494,470071714744785
101495,487655608608324
101496,204526770252243
101497,473086773814211
101498,540428629921437
101499,468757676653640
101500,459653119723278
101501,422598936531461
101502,467778949899215
101503,280497227173009
101504,70660662172790
101505,495273954987542
101506,264390073424725
101507,217194183444954
101508,215767796949239
101509,427794499521722
101510,323500556490601
101511,521409898320476
101512,434377276351
101513,133021811943448
101514,302475679360274
101515,118006515961513
101516,168294741915613
101517,441220710345123
101518,324027671777205
101519,108000262254443
101520,198825870155488
101521,462054349225137
101522,465185262047054
102802,216112265392536
102803,268886604731864
102804,376957142117464
103462,149632821587892
104053,391179652575587
104379,362041403896668
104380,256793488612869
104381,180927224306693
106207,25538838813987
106211,458852502157391
106212,463404250745520
106213,126838685049137
106214,321504123731199
106215,338917050653290
106357,410746668301972
106358,242910033094161
106359,541751497996371
106360,277679440985619
106361,559279114858569
106518,335441407436692
106519,485555759156693
106520,278353655547349
106521,330339153667013
106522,489832840883796
106523,133712205948621
106524,108972391446807
106525,418485654565717
106526,379579301155525
106527,102352445420749
106528,489541761272261
106529,520395571248341
106530,419572270971977
106531,453397348615516
106532,349168133394901
106979,101843941156236
106980,348433841435277
106981,378870292863637
106982,273488370077198
106983,524023206913679
106984,365705060433500
106985,356451179362790
106986,378682466950668
106987,512375269421511
106988,418450762230477
106989,304296905729741
106990,75122290261071
106991,382772877917542
106992,405208436357407
106993,380502044114286
106994,129411152447790
106995,378630136491161
106996,404797214277453
106997,413602585271318
106998,120582429582182
106999,276150591306828
107000,273267649520583
107001,349829556091207
107002,255826643958222
107003,541549252119439
107004,471265598712918
107005,556543341558034
107006,559244892801798
107007,277662642585926
107008,120409570243303
107009,489983182064732
107010,541545423774538
107011,541665312787663
107012,274389815009481
107013,541527070575439
107014,163420341730492
107015,484477040925382
107016,136937644284740
107017,224890960182937
107018,169451948095687
107021,277185001625253
107022,269986366325604
107023,541561170647859
107024,242496433883803
107025,388359955562354
107026,560941021015245
107027,541515029525044
107028,530016562182934
107029,540053793613509
107030,554721215105938
107031,256754648862534
107032,455204655707212
107033,486173422971339
107034,277250269088530
107035,440464925595212
107036,437763609255246
107037,203080903969086
107038,127570418724953
107039,136824606234775
107040,538813743574725
